model,datasets,n_metric_obs,mean_z,median_z,n_jrt_cells,rank,release_model
anthropic/claude-opus-4.7,67,67,0.803567,0.884012,24,1,yes
openai/gpt-5.4,67,67,0.736766,0.931352,24,2,yes
openai/gpt-5.5,67,67,0.736109,0.795529,24,3,yes
anthropic/claude-opus-4.6,65,65,0.578923,0.837492,23,4,yes
anthropic/claude-sonnet-4.6,67,67,0.480180,0.631000,24,5,yes
fixture/unknown-01,67,67,0.40,0.40,24,6,yes
fixture/unknown-02,67,67,0.35,0.35,24,7,yes
fixture/unknown-03,67,67,0.30,0.30,24,8,yes
fixture/unknown-04,67,67,0.25,0.25,24,9,yes
fixture/unknown-05,67,67,0.20,0.20,24,10,yes
fixture/unknown-06,67,67,0.15,0.15,24,11,yes
fixture/unknown-07,67,67,0.10,0.10,24,12,yes
fixture/unknown-08,67,67,0.05,0.05,24,13,yes
fixture/unknown-09,67,67,0.00,0.00,24,14,yes
fixture/unknown-10,67,67,-0.05,-0.05,24,15,yes
fixture/unknown-11,67,67,-0.10,-0.10,24,16,yes
fixture/unknown-12,67,67,-0.20,-0.20,24,17,yes
fixture/unknown-13,67,67,-0.40,-0.40,24,18,yes
fixture/unknown-14,67,67,-0.80,-0.80,24,19,yes
fixture/unknown-15,67,67,-1.20,-1.20,24,20,yes
